コード,銘柄名,カテゴリ,取得時刻,PER,PBR,利回り,始値,高値,安値,終値,出来高,売買代金,VWAP,約定回数,売買最低代金,単元株数,時価総額,売り残(06/26),買り残(06/26),信用倍率(06/26)
4151,協和キリン,東証１,15:00,30.8倍,2.24倍,1.57％,"2,751","2,810","2,750","2,809","638,400 株","1,780 百万円","2,788.224 円","2,064 回","280,900 円",100 株,"1兆5,169億円",107.9,132.4,1.23
4502,武田薬品工業,東証１,15:00,97.8倍,1.24倍,4.78％,"3,820","3,821","3,714","3,766","4,409,800 株","16,567 百万円","3,756.879 円","7,597 回","376,600 円",100 株,"5兆9,366億円",588.8,"2,679.7",4.55
4503,アステラス製薬,東証１,15:00,16.3倍,2.56倍,2.37％,"1,766.0","1,776.5","1,759.0","1,775.5","2,253,200 株","3,988 百万円","1,770.046 円","3,331 回","177,550 円",100 株,"3兆3,056億円",444.2,586.6,1.32
4506,大日本住友製薬,東証１,15:00,80.0倍,1.06倍,1.99％,"1,429","1,429","1,388","1,410","469,600 株",659 百万円,"1,404.384 円","1,113 回","141,000 円",100 株,"5,610億円",269.9,578.1,2.14
4507,塩野義製薬,東証１,15:00,19.4倍,2.62倍,1.60％,"6,560","6,611","6,534","6,605","538,700 株","3,542 百万円","6,574.609 円","2,038 回","660,500 円",100 株,2兆580億円,105.6,445.5,4.22
4519,中外製薬,東証１,15:00,－倍,11.06倍,0.87％,"5,688","5,759","5,632","5,749","1,226,100 株","7,006 百万円","5,714.054 円","3,291 回","574,900 円",100 株,"9兆6,529億円",251.4,267.7,1.06
4523,エーザイ,東証１,15:00,36.5倍,3.60倍,1.88％,"8,500","8,539","8,429","8,520","380,800 株","3,232 百万円","8,488.209 円","1,619 回","852,000 円",100 株,"2兆5,268億円",158.9,248.8,1.57
4568,第一三共,東証１,15:00,99.8倍,4.28倍,0.94％,"8,653","8,659","8,493","8,621","812,200 株","6,981 百万円","8,595.369 円","2,916 回","862,100 円",100 株,"6兆1,124億円",275.7,630.2,2.29
4578,大塚ホールディングス,東証１,15:00,17.2倍,1.43倍,2.18％,"4,611","4,622","4,553","4,597","927,900 株","4,251 百万円","4,581.197 円","3,310 回","459,700 円",100 株,"2兆5,644億円",91.0,74.4,0.82
3105,日清紡ホールディングス,東証１,15:00,9.8倍,0.55倍,3.94％,776,781,752,762,"697,000 株",531 百万円,761.164 円,"1,141 回","76,200 円",100 株,"1,364億円",256.7,370.8,1.44
6479,ミネベアミツミ,東証１,15:00,18.3倍,1.99倍,－％,"1,937","1,941","1,900","1,924","832,700 株","1,597 百万円","1,917.656 円","1,958 回","192,400 円",100 株,"8,217億円",325.0,384.1,1.18
6501,日立製作所,東証１,15:00,9.8倍,1.04倍,－％,"3,346.0","3,402.0","3,336.0","3,385.0","2,859,000 株","9,637 百万円","3,370.593 円","6,160 回","338,500 円",100 株,"3兆2,763億円",458.6,"2,131.3",4.65
6503,三菱電機,東証１,15:00,29.9倍,1.23倍,－％,"1,395.5","1,401.0","1,378.5","1,395.5","1,983,700 株","2,760 百万円","1,391.281 円","2,996 回","139,550 円",100 株,"2兆9,964億円",923.6,960.0,1.04
6504,富士電機,東証１,15:00,－倍,1.13倍,－％,"2,964","2,965","2,845","2,881","927,900 株","2,679 百万円","2,886.779 円","3,347 回","288,100 円",100 株,"4,301億円",190.7,206.5,1.08
6506,安川電機,東証１,15:00,－倍,4.36倍,－％,"3,725","3,805","3,715","3,805","1,377,800 株","5,193 百万円","3,768.711 円","2,113 回","380,500 円",100 株,1兆148億円,936.1,"1,281.3",1.37
6645,オムロン,東証１,15:00,－倍,2.76倍,－％,"7,170","7,250","7,110","7,250","515,900 株","3,711 百万円","7,193.987 円","1,054 回","725,000 円",100 株,"1兆4,953億円",548.2,229.9,0.42
6674,ＧＳユアサ,東証１,15:00,－倍,0.84倍,－％,"1,840","1,858","1,801","1,832","373,200 株",680 百万円,"1,822.497 円","1,367 回","183,200 円",100 株,"1,515億円",183.0,227.4,1.24
6701,ＮＥＣ,東証１,15:00,15.3倍,1.51倍,1.51％,"5,250","5,330","5,230","5,310","1,729,700 株","9,155 百万円","5,292.764 円","2,652 回","531,000 円",100 株,"1兆3,831億円",474.1,"1,527.3",3.22
6702,富士通,東証１,15:00,－倍,2.01倍,－％,"12,365","12,535","12,265","12,445","559,500 株","6,953 百万円","12,427.668 円","2,207 回","1,244,500 円",100 株,"2兆5,761億円",257.1,241.3,0.94
6703,沖電気工業,東証１,15:00,－倍,0.85倍,－％,"1,030","1,048","1,027","1,046","495,800 株",515 百万円,"1,038.118 円","1,389 回","104,600 円",100 株,912億円,52.1,542.3,10.41
6724,セイコーエプソン,東証１,15:00,－倍,0.83倍,5.14％,"1,220","1,233","1,196","1,207","848,900 株","1,026 百万円","1,208.874 円","1,643 回","120,700 円",100 株,"4,824億円",364.9,531.4,1.46
6752,パナソニック,東証１,15:00,－倍,1.10倍,－％,952.7,956.8,929.7,942.0,"4,819,400 株","4,529 百万円",939.819 円,"7,699 回","94,200 円",100 株,"2兆3,110億円","1,704.0","2,839.4",1.67
6758,ソニー,東証１,15:00,－倍,2.22倍,－％,"7,501","7,531","7,463","7,511","3,101,000 株","23,274 百万円","7,505.419 円","6,955 回","751,100 円",100 株,"9兆4,718億円","1,274.0","2,902.6",2.28
6762,ＴＤＫ,東証１,15:00,27.3倍,1.55倍,1.54％,"10,430","10,430","10,300","10,360","635,100 株","6,575 百万円","10,353.045 円","1,935 回","1,036,000 円",100 株,"1兆3,426億円",308.1,482.6,1.57
6770,アルプスアルパイン,東証１,15:00,92.7倍,0.86倍,1.47％,"1,399","1,399","1,335","1,360","2,923,200 株","3,969 百万円","1,357.836 円","5,076 回","136,000 円",100 株,"2,982億円",402.4,"1,759.0",4.37
6841,横河電機,東証１,15:00,－倍,1.55倍,－％,"1,646","1,659","1,623","1,659","374,100 株",615 百万円,"1,643.074 円",986 回,"165,900 円",100 株,"4,456億円",342.7,115.6,0.34
6857,アドバンテスト,東証１,15:00,－倍,5.43倍,－％,"6,250","6,350","6,170","6,330","1,866,200 株","11,755 百万円","6,298.74 円","2,750 回","633,000 円",100 株,"1兆2,633億円","1,267.5","1,649.2",1.30
6902,デンソー,東証１,15:00,－倍,0.97倍,－％,"4,281","4,305","4,202","4,240","1,235,800 株","5,256 百万円","4,253.46 円","3,813 回","424,000 円",100 株,"3兆3,409億円",387.4,455.2,1.18
6952,カシオ計算機,東証１,15:00,－倍,2.23倍,－％,"1,870","1,874","1,840","1,859","596,100 株","1,106 百万円","1,855.893 円","1,368 回","185,900 円",100 株,"4,815億円",382.0,173.2,0.45
6954,ファナック,東証１,15:00,－倍,2.71倍,－％,"19,150","19,220","19,010","19,145","349,000 株","6,674 百万円","19,122.997 円","1,604 回","1,914,500 円",100 株,"3兆8,658億円",335.6,307.9,0.92
6971,京セラ,東証１,15:00,23.9倍,0.86倍,2.07％,"5,819","5,845","5,765","5,799","563,100 株","3,265 百万円","5,798.219 円","2,041 回","579,900 円",100 株,"2兆1,898億円",173.4,234.7,1.35
6976,太陽誘電,東証１,15:00,－倍,1.97倍,0.91％,"3,290","3,305","3,255","3,300","1,170,200 株","3,840 百万円","3,281.325 円","1,946 回","330,000 円",100 株,"4,297億円","1,842.8","1,158.2",0.63
7735,スクリン,東証１,15:00,－倍,1.37倍,－％,"4,985","5,190","4,985","5,120","831,200 株","4,246 百万円","5,108.702 円","1,516 回","512,000 円",100 株,"2,601億円",167.9,"1,046.9",6.24
7751,キヤノン,東証１,15:00,－倍,0.87倍,－％,"2,100.5","2,122.0","2,086.0","2,094.5","2,496,400 株","5,237 百万円","2,097.835 円","3,849 回","209,450 円",100 株,"2兆7,936億円","3,424.9","3,468.8",1.01
7752,リコー,東証１,15:00,－倍,0.61倍,－％,772,779,763,773,"2,672,900 株","2,062 百万円",771.348 円,"2,384 回","77,300 円",100 株,"5,758億円",470.2,"1,356.1",2.88
8035,東京エレクトロン,東証１,15:00,21.8倍,5.45倍,2.30％,"27,955","28,810","27,780","28,720","1,524,600 株","43,398 百万円","28,465.345 円","7,586 回","2,872,000 円",100 株,"4兆5,151億円",566.0,339.7,0.60
7201,日産自動車,東証１,15:00,－倍,0.38倍,－％,404.5,405.0,388.5,394.0,"16,902,500 株","6,681 百万円",395.257 円,"9,079 回","39,400 円",100 株,"1兆6,630億円","10,318.1","21,172.4",2.05
7202,いすゞ自動車,東証１,15:00,－倍,0.75倍,－％,967.1,977.0,947.8,964.6,"1,741,200 株","1,671 百万円",959.773 円,"5,795 回","96,460 円",100 株,"8,184億円",606.4,457.1,0.75
7203,トヨタ自動車,東証１,15:00,－倍,0.94倍,－％,"6,776","6,790","6,713","6,761","3,843,700 株","25,957 百万円","6,753.103 円","6,883 回","676,100 円",100 株,22兆611億円,"1,635.3","1,652.1",1.01
7205,日野自動車,東証１,15:00,－倍,0.75倍,－％,721,726,700,709,"1,426,600 株","1,010 百万円",707.665 円,"1,593 回","70,900 円",100 株,"4,074億円",200.5,464.4,2.32
7211,三菱自動車工業,東証１,15:00,－倍,0.50倍,－％,266,268,260,262,"5,926,200 株","1,559 百万円",263.025 円,"1,295 回","26,200 円",100 株,"3,905億円","3,170.4","12,917.5",4.07
7261,マツダ,東証１,15:00,－倍,0.35倍,－％,663,668,642,659,"5,199,300 株","3,406 百万円",655.122 円,"3,086 回","65,900 円",100 株,"4,164億円","1,954.3","4,866.4",2.49
7267,ホンダ,東証１,15:00,－倍,0.60倍,－％,"2,799.5","2,809.0","2,733.5","2,769.0","3,425,300 株","9,481 百万円","2,767.955 円","7,654 回","276,900 円",100 株,5兆158億円,994.5,835.4,0.84
